id,grip,action,max_beta_deg_above15,peak_speed_ms,exit_speed_ms,distance_m,first_beta15_s,completed
TESTAROSSA,1,holdCoast,1.9350141,28.867268,24.846533,120.56469,,true
TESTAROSSA,1,holdBrake25,2.6533323,27.095452,9.9237326,85.797902,,true
TESTAROSSA,1,holdBrake50,4.809243,24.701833,0.002706535,53.166689,,true
TESTAROSSA,1,holdBrake100,22.664457,15.055324,2.674531e-05,30.937282,0.55833333,true
TESTAROSSA,1,releaseCoast,2.1381435,28.809032,27.301962,126.24445,,true
TESTAROSSA,1,releaseBrake,2.2442638,28.264987,8.0145604e-06,30.421118,,true
TESTAROSSA,1,delayedReleaseBrake,11.436597,22.912241,1.3421361e-05,30.618053,,true
TESTAROSSA,1,counterPulseBrake,7.2707452,22.694914,8.4606879e-06,30.448938,,true
TESTAROSSA,1,reverseCoast,2.3808311,28.48144,24.903924,120.84501,,true
TESTAROSSA,1,reverseBrake,17.837672,15.06931,3.0373807e-05,30.983281,0.73333333,true
TESTAROSSA,0.25,holdCoast,14.725975,26.27505,24.285871,120.87521,,true
TESTAROSSA,0.25,holdBrake25,60.238587,17.634376,14.862739,101.97012,1.0833333,true
TESTAROSSA,0.25,holdBrake50,60.238587,17.634376,14.862739,101.97012,1.0833333,true
TESTAROSSA,0.25,holdBrake100,60.238587,17.634376,14.862739,101.97012,1.0833333,true
TESTAROSSA,0.25,releaseCoast,4.9302688,29.120672,27.575205,127.52933,,true
TESTAROSSA,0.25,releaseBrake,5.1056397,28.616853,2.3984039,72.951534,,true
TESTAROSSA,0.25,delayedReleaseBrake,7.7798018,27.780305,3.9443506,79.136016,,true
TESTAROSSA,0.25,counterPulseBrake,5.1497597,28.717621,3.0234916,75.499072,,true
TESTAROSSA,0.25,reverseCoast,40.919815,25.254288,21.664691,115.40845,0.95,true
TESTAROSSA,0.25,reverseBrake,78.633052,17.162592,12.006398,95.221357,0.91666667,true
911_TURBO_3_3,1,holdCoast,2.137353,28.777984,24.552419,119.71057,,true
